epoch,acc,loss,val_acc,val_loss
0,0.60324568,1.23137909,0.7578,0.91823598
1,0.61823955,1.15239787,0.766,0.89913612
2,0.62537892,1.10576344,0.7701,0.88645178
3,0.6673333,1.0072570447921754,0.782,0.8370255641639233
4,0.72066665,0.8891593523025513,0.8,0.7448363155126572
5,0.75,0.8038051845232645,0.817,0.6737846024334431
6,0.76533335,0.740864824295044,0.833,0.6169288605451584
7,0.78453231,0.68911493,0.849,0.56439204
8,0.79784221,0.64782009,0.8612,0.52638294
9,0.8043333,0.613280339717865,0.871,0.5035318210721016
10,0.826,0.5691964174111684,0.877,0.46797117963433266
11,0.84033334,0.5320011420249939,0.884,0.43932071328163147
12,0.84466666,0.5118256379763285,0.89,0.4173748530447483
13,0.84833336,0.48362191756566364,0.893,0.39791485108435154
14,0.856,0.4610143161614736,0.897,0.376672794111073
15,0.8576667,0.4505438397725423,0.899,0.3592165932059288
16,0.86733335,0.4237092854181925,0.904,0.3445316553115845
17,0.879,0.406695060412089,0.907,0.329776949249208
18,0.88133335,0.3940363299846649,0.911,0.3193114660680294
19,0.8883333,0.37871061817804974,0.912,0.31411377154290676
